ABBR,DATE_TIME,UTC_DATE_TIME,O3_PPB,SO2_2_PPB,NO_3_PPB,NOY_PPB,NO2_3_PPB,CO_2_PPB,VWS_M_S,VWD_DEG,TMP_DEGC,SOL_W_M2,
MACA-HM,2/1/2020 12:00:00 AM,2/1/2020 6:00:00 AM,12.2,0.1,-0.003,4.1,4.1,211.893,1.3,346,5.2,0,
MACA-HM,2/1/2020 12:01:00 AM,2/1/2020 6:01:00 AM,12.2,0.2,-0.004,3.9,3.9,205.823,1.6,342,5.2,0,
MACA-HM,2/1/2020 12:02:00 AM,2/1/2020 6:02:00 AM,12.1,0.1,-0.01,3.9,3.9,210.638,1.5,340,5.2,0,
MACA-HM,2/1/2020 12:03:00 AM,2/1/2020 6:03:00 AM,12.1,0.1,0.062,4,4,212.087,1.3,338,5.2,0,
MACA-HM,2/1/2020 12:04:00 AM,2/1/2020 6:04:00 AM,12,0.2,0.046,4.2,4.1,211.085,1.4,327,5.2,0,
MACA-HM,2/1/2020 12:05:00 AM,2/1/2020 6:05:00 AM,11.9,0,-0.038,4,4,209.426,1.2,333,5.2,0,
MACA-HM,2/1/2020 12:06:00 AM,2/1/2020 6:06:00 AM,11.8,0.2,-0.001,3.8,3.8,212.338,1.2,338,5.2,0,
MACA-HM,2/1/2020 12:07:00 AM,2/1/2020 6:07:00 AM,11.9,0.1,-0.086,3.8,3.8,209.356,1.4,341,5.2,0,
MACA-HM,2/1/2020 12:08:00 AM,2/1/2020 6:08:00 AM,12.1,0.1,0.048,4,3.9,206.84,1.1,345,5.2,0,
MACA-HM,2/1/2020 12:09:00 AM,2/1/2020 6:09:00 AM,11.8,0.1,0.005,4,4,212.201,1.2,339,5.2,0,
MACA-HM,2/1/2020 12:10:00 AM,2/1/2020 6:10:00 AM,11.5,0.3,0.013,3.8,3.8,212.561,1.2,3,5.2,0,
MACA-HM,2/1/2020 12:11:00 AM,2/1/2020 6:11:00 AM,11.8,0.2,0.063,3.8,3.7,209.446,0.9,353,5.2,0,
MACA-HM,2/1/2020 12:12:00 AM,2/1/2020 6:12:00 AM,11.6,0.1,0.003,3.9,3.9,211.974,1.3,10,5.2,0,
MACA-HM,2/1/2020 12:13:00 AM,2/1/2020 6:13:00 AM,11.7,0.1,-0.009,3.8,3.9,210.228,0.9,15,5.2,0,
MACA-HM,2/1/2020 12:14:00 AM,2/1/2020 6:14:00 AM,13,0.1,0.023,3.9,3.8,216.516,1.3,350,5.2,0,
MACA-HM,2/1/2020 12:15:00 AM,2/1/2020 6:15:00 AM,12.3,0,-0.056,3.7,3.7,208.926,0.7,28,5.2,0,
MACA-HM,2/1/2020 12:16:00 AM,2/1/2020 6:16:00 AM,12.1,0.1,-0.022,3.8,3.8,215.336,0.7,79,5.2,0,
MACA-HM,2/1/2020 12:17:00 AM,2/1/2020 6:17:00 AM,11.8,0,-0.027,3.8,3.8,213.315,0.5,54,5.2,0,
MACA-HM,2/1/2020 12:18:00 AM,2/1/2020 6:18:00 AM,11.8,0.1,-0.034,3.8,3.8,207.839,0.5,26,5.2,0,
MACA-HM,2/1/2020 12:19:00 AM,2/1/2020 6:19:00 AM,12.6,0,-0.007,3.8,3.8,211.442,0.6,38,5.2,0,
MACA-HM,2/1/2020 12:20:00 AM,2/1/2020 6:20:00 AM,11.7,0.1,0.001,3.7,3.7,215.211,0.6,73,5.2,0,
MACA-HM,2/1/2020 12:21:00 AM,2/1/2020 6:21:00 AM,11.4,0.3,-0.012,3.8,3.8,215.678,0.4,78,5.2,0,
MACA-HM,2/1/2020 12:22:00 AM,2/1/2020 6:22:00 AM,11.7,0.1,0.043,3.9,3.9,208.099,0.5,105,5.2,0,
MACA-HM,2/1/2020 12:23:00 AM,2/1/2020 6:23:00 AM,12.1,0.2,0.019,3.9,3.9,213.212,0.6,94,5.2,0,
MACA-HM,2/1/2020 12:24:00 AM,2/1/2020 6:24:00 AM,12.2,0.2,-0.017,3.6,3.6,214.762,0.8,67,5.1,0,
MACA-HM,2/1/2020 12:25:00 AM,2/1/2020 6:25:00 AM,12,0.1,0.036,3.6,3.6,212.87,0.6,67,5.1,0,
MACA-HM,2/1/2020 12:26:00 AM,2/1/2020 6:26:00 AM,11.7,0.1,-0.001,3.8,3.8,212.269,0.8,75,5.1,0,
MACA-HM,2/1/2020 12:27:00 AM,2/1/2020 6:27:00 AM,11.1,0.1,0,4,4,213.749,0.7,73,5.2,0,
MACA-HM,2/1/2020 12:28:00 AM,2/1/2020 6:28:00 AM,12.1,0.1,0.035,3.7,3.7,214.536,0.6,68,5.2,0,
MACA-HM,2/1/2020 12:29:00 AM,2/1/2020 6:29:00 AM,12.3,0,-0.052,3.7,3.8,216.373,0.7,46,5.1,0,
MACA-HM,2/1/2020 12:30:00 AM,2/1/2020 6:30:00 AM,12,0,0.017,3.8,3.7,214.831,0.6,21,5.1,0,
MACA-HM,2/1/2020 12:31:00 AM,2/1/2020 6:31:00 AM,12.1,0.1,0.051,3.9,3.9,213.793,0.5,32,5.1,0,
MACA-HM,2/1/2020 12:32:00 AM,2/1/2020 6:32:00 AM,11.5,0,0,3.6,3.6,212.305,0.4,0,5.1,0,
MACA-HM,2/1/2020 12:33:00 AM,2/1/2020 6:33:00 AM,12.3,0.1,0.012,3.5,3.5,213.524,0.4,293,5,0,
MACA-HM,2/1/2020 12:34:00 AM,2/1/2020 6:34:00 AM,12.5,0.1,-0.021,3.8,3.8,218.995,0.4,332,5,0,
MACA-HM,2/1/2020 12:35:00 AM,2/1/2020 6:35:00 AM,12.6,0.1,-0.027,3.8,3.9,219.586,0.1,95,5,0,
MACA-HM,2/1/2020 12:36:00 AM,2/1/2020 6:36:00 AM,12.5,0,-0.068,3.8,3.9,210.401,0.1,214,5,0,
MACA-HM,2/1/2020 12:37:00 AM,2/1/2020 6:37:00 AM,12.4,0.1,-0.014,3.7,3.7,210.253,0.8,30,5,0,
MACA-HM,2/1/2020 12:38:00 AM,2/1/2020 6:38:00 AM,12.8,0.1,0.069,3.8,3.7,212.79,0.6,38,5,0,
MACA-HM,2/1/2020 12:39:00 AM,2/1/2020 6:39:00 AM,12.3,0,0.012,3.6,3.6,212.241,0.3,41,5,0,
MACA-HM,2/1/2020 12:40:00 AM,2/1/2020 6:40:00 AM,12.1,0,-0.001,3.8,3.9,210.461,0.5,21,5.1,0,
MACA-HM,2/1/2020 12:41:00 AM,2/1/2020 6:41:00 AM,12.1,0.1,0.05,3.7,3.6,215.232,0.4,358,5.1,0,
MACA-HM,2/1/2020 12:42:00 AM,2/1/2020 6:42:00 AM,11.5,0.2,0.034,3.7,3.7,212.656,0.7,1,5.1,0,
MACA-HM,2/1/2020 12:43:00 AM,2/1/2020 6:43:00 AM,11.5,0.2,-0.013,3.7,3.7,212.758,0.9,344,5.1,0,
MACA-HM,2/1/2020 12:44:00 AM,2/1/2020 6:44:00 AM,12.3,0.2,0.002,3.7,3.7,213.626,0.8,2,5,0,
MACA-HM,2/1/2020 12:45:00 AM,2/1/2020 6:45:00 AM,12.7,-999,-999,-999,-999,-999,0.7,2,5,0,
MACA-HM,2/1/2020 12:46:00 AM,2/1/2020 6:46:00 AM,12.7,-999,-999,-999,-999,-999,0.7,3,5,0,
MACA-HM,2/1/2020 12:47:00 AM,2/1/2020 6:47:00 AM,12.3,-999,-999,-999,-999,-999,0.6,11,5,0,
MACA-HM,2/1/2020 12:48:00 AM,2/1/2020 6:48:00 AM,12.4,-999,-999,-999,-999,-999,0.5,16,5,0,
MACA-HM,2/1/2020 12:49:00 AM,2/1/2020 6:49:00 AM,12.3,-999,-999,-999,-999,-999,0.5,33,5,0,
MACA-HM,2/1/2020 12:50:00 AM,2/1/2020 6:50:00 AM,12.4,-999,-999,-999,-999,-999,0.5,39,5,0,
MACA-HM,2/1/2020 12:51:00 AM,2/1/2020 6:51:00 AM,11.8,-999,-999,-999,-999,-999,0.4,39,5,0,
MACA-HM,2/1/2020 12:52:00 AM,2/1/2020 6:52:00 AM,11.6,-999,-999,-999,-999,-999,0.3,39,5,0,
MACA-HM,2/1/2020 12:53:00 AM,2/1/2020 6:53:00 AM,11.3,-999,-999,-999,-999,-999,0.3,39,5,0,
MACA-HM,2/1/2020 12:54:00 AM,2/1/2020 6:54:00 AM,11.5,-999,-999,-999,-999,-999,0.3,37,5,0,
MACA-HM,2/1/2020 12:55:00 AM,2/1/2020 6:55:00 AM,11,-999,-999,-999,-999,-999,0.4,32,5.1,0,
MACA-HM,2/1/2020 12:56:00 AM,2/1/2020 6:56:00 AM,11.6,-999,-999,-999,-999,-999,0.5,23,5.1,0,
MACA-HM,2/1/2020 12:57:00 AM,2/1/2020 6:57:00 AM,12.6,-999,-999,-999,-999,-999,0.6,23,5,0,
MACA-HM,2/1/2020 12:58:00 AM,2/1/2020 6:58:00 AM,13,-999,-999,-999,-999,-999,0.8,55,5,0,
MACA-HM,2/1/2020 12:59:00 AM,2/1/2020 6:59:00 AM,12.9,-999,-999,-999,-999,-999,0.6,34,5,0,
MACA-HM,2/1/2020 1:00:00 AM,2/1/2020 7:00:00 AM,12.5,-999,-999,-999,-999,-999,0.6,359,5,0,
MACA-HM,2/1/2020 1:01:00 AM,2/1/2020 7:01:00 AM,12.1,-999,-999,-999,-999,-999,0.8,350,5,0,
MACA-HM,2/1/2020 1:02:00 AM,2/1/2020 7:02:00 AM,13.3,-999,-999,-999,-999,-999,1.1,341,5,0,
MACA-HM,2/1/2020 1:03:00 AM,2/1/2020 7:03:00 AM,12.9,-999,-999,-999,-999,-999,1,350,5,0,
MACA-HM,2/1/2020 1:04:00 AM,2/1/2020 7:04:00 AM,12.5,-999,-999,-999,-999,-999,0.9,351,5,0,
MACA-HM,2/1/2020 1:05:00 AM,2/1/2020 7:05:00 AM,12.7,-999,-999,-999,-999,-999,0.9,2,5,0,
MACA-HM,2/1/2020 1:06:00 AM,2/1/2020 7:06:00 AM,13,-999,-999,-999,-999,-999,0.9,352,5,0,
MACA-HM,2/1/2020 1:07:00 AM,2/1/2020 7:07:00 AM,12.6,-999,-999,-999,-999,-999,0.9,353,5,0,
MACA-HM,2/1/2020 1:08:00 AM,2/1/2020 7:08:00 AM,12.7,-999,-999,-999,-999,-999,0.9,351,5,0,
MACA-HM,2/1/2020 1:09:00 AM,2/1/2020 7:09:00 AM,11.9,-999,-999,-999,-999,-999,0.7,12,5,0,
MACA-HM,2/1/2020 1:10:00 AM,2/1/2020 7:10:00 AM,11.7,-999,-999,-999,-999,-999,0.7,11,5,0,
MACA-HM,2/1/2020 1:11:00 AM,2/1/2020 7:11:00 AM,12,-999,-999,-999,-999,-999,0.7,10,5,0,
MACA-HM,2/1/2020 1:12:00 AM,2/1/2020 7:12:00 AM,12.6,-999,-999,-999,-999,-999,0.6,16,5,0,
MACA-HM,2/1/2020 1:13:00 AM,2/1/2020 7:13:00 AM,12,-999,-999,-999,-999,-999,0.6,30,5,0,
MACA-HM,2/1/2020 1:14:00 AM,2/1/2020 7:14:00 AM,12.6,0.1,0.028,3.3,3.2,179.94,0.7,31,5,0,
MACA-HM,2/1/2020 1:15:00 AM,2/1/2020 7:15:00 AM,12.5,0,0.016,3.4,3.4,180.049,0.6,28,5,0,
MACA-HM,2/1/2020 1:16:00 AM,2/1/2020 7:16:00 AM,12.5,0,0.059,3.5,3.5,182.192,0.6,28,5,0,
MACA-HM,2/1/2020 1:17:00 AM,2/1/2020 7:17:00 AM,12.4,0,0.008,3.3,3.3,182.803,0.6,14,5,0,
MACA-HM,2/1/2020 1:18:00 AM,2/1/2020 7:18:00 AM,12.5,0,0.008,3.2,3.2,185.717,0.8,359,5,0,
MACA-HM,2/1/2020 1:19:00 AM,2/1/2020 7:19:00 AM,12.6,0.1,0.016,3.3,3.3,185.14,0.5,358,5,0,
MACA-HM,2/1/2020 1:20:00 AM,2/1/2020 7:20:00 AM,12.8,0.1,0.003,3.4,3.4,186.384,0.5,4,5,0,
MACA-HM,2/1/2020 1:21:00 AM,2/1/2020 7:21:00 AM,12.7,0,0.008,3.3,3.3,189.24,0.6,29,5,0,
MACA-HM,2/1/2020 1:22:00 AM,2/1/2020 7:22:00 AM,12.8,0,0.028,3.1,3.1,188.464,0.8,64,5,0,
MACA-HM,2/1/2020 1:23:00 AM,2/1/2020 7:23:00 AM,13.4,0,0.041,3.3,3.2,186.89,0.7,19,5,0,
MACA-HM,2/1/2020 1:24:00 AM,2/1/2020 7:24:00 AM,13.2,0.1,0.005,3.5,3.5,194.877,0.9,48,5,0,
MACA-HM,2/1/2020 1:25:00 AM,2/1/2020 7:25:00 AM,12.1,0.1,-0.067,3.4,3.5,194.82,1,77,5,0,
MACA-HM,2/1/2020 1:26:00 AM,2/1/2020 7:26:00 AM,12.6,0.1,-0.044,3.2,3.2,189.634,1.2,33,5,0,
MACA-HM,2/1/2020 1:27:00 AM,2/1/2020 7:27:00 AM,13,0,-0.002,3.3,3.3,193.971,0.7,115,5,0,
MACA-HM,2/1/2020 1:28:00 AM,2/1/2020 7:28:00 AM,12.7,0.1,0.011,3.4,3.4,194.567,0.5,102,5,0,
MACA-HM,2/1/2020 1:29:00 AM,2/1/2020 7:29:00 AM,12.1,0,0.088,3.5,3.4,192.812,0.4,64,5.1,0,
MACA-HM,2/1/2020 1:30:00 AM,2/1/2020 7:30:00 AM,11.9,0.1,0.07,3.3,3.2,194.909,0.5,35,5.1,0,
MACA-HM,2/1/2020 1:31:00 AM,2/1/2020 7:31:00 AM,12.7,0.1,0.098,3.2,3.1,198.25,0.4,8,5,0,
MACA-HM,2/1/2020 1:32:00 AM,2/1/2020 7:32:00 AM,12.4,0,0.051,3.4,3.3,196.526,0.4,20,5,0,
MACA-HM,2/1/2020 1:33:00 AM,2/1/2020 7:33:00 AM,12.7,0.1,-0.022,3.5,3.5,191.476,0.3,143,5,0,
MACA-HM,2/1/2020 1:34:00 AM,2/1/2020 7:34:00 AM,11.8,0.1,0.051,3.4,3.3,195.3,0.1,313,5,0,
MACA-HM,2/1/2020 1:35:00 AM,2/1/2020 7:35:00 AM,11.3,0.2,-0.024,3.2,3.2,190.648,0.2,49,5,0,
MACA-HM,2/1/2020 1:36:00 AM,2/1/2020 7:36:00 AM,11.9,0.1,-0.013,3.2,3.2,191.644,0,204,5,0,
MACA-HM,2/1/2020 1:37:00 AM,2/1/2020 7:37:00 AM,11.9,0.1,0.02,3.3,3.3,193.654,0.2,76,5,0,
MACA-HM,2/1/2020 1:38:00 AM,2/1/2020 7:38:00 AM,12.6,0.1,0.018,3.5,3.5,193.083,0.6,45,5,0,
MACA-HM,2/1/2020 1:39:00 AM,2/1/2020 7:39:00 AM,13.2,0,0.026,3.3,3.3,195.028,0.4,11,5,0,
MACA-HM,2/1/2020 1:40:00 AM,2/1/2020 7:40:00 AM,12.7,0,0.038,3.2,3.2,200.7,0.6,349,5,0,
MACA-HM,2/1/2020 1:41:00 AM,2/1/2020 7:41:00 AM,13.1,0,0.05,3.3,3.3,196.617,0.4,355,5,0,
MACA-HM,2/1/2020 1:42:00 AM,2/1/2020 7:42:00 AM,13.3,0.1,0.059,3.5,3.4,196.135,0.6,74,5,0,
MACA-HM,2/1/2020 1:43:00 AM,2/1/2020 7:43:00 AM,13.1,0.1,0,3.5,3.5,194.278,0.2,146,5,0,
MACA-HM,2/1/2020 1:44:00 AM,2/1/2020 7:44:00 AM,13.1,0.1,-0.011,3.2,3.3,193.293,0.6,104,5,0,
MACA-HM,2/1/2020 1:45:00 AM,2/1/2020 7:45:00 AM,12.8,0,-0.041,3.1,3.2,195.662,0.4,86,5,0,
MACA-HM,2/1/2020 1:46:00 AM,2/1/2020 7:46:00 AM,13.1,0,0.04,3.4,3.4,193.135,0.6,75,5,0,
MACA-HM,2/1/2020 1:47:00 AM,2/1/2020 7:47:00 AM,13.2,0,-0.107,3.3,3.4,192.28,0.7,83,5,0,
MACA-HM,2/1/2020 1:48:00 AM,2/1/2020 7:48:00 AM,13.5,0,-0.031,3.3,3.4,195.784,0.7,73,5,0,
MACA-HM,2/1/2020 1:49:00 AM,2/1/2020 7:49:00 AM,13,0.1,0.006,3.2,3.2,202.82,0.5,83,5,0,
MACA-HM,2/1/2020 1:50:00 AM,2/1/2020 7:50:00 AM,13.3,0.1,0.035,3.4,3.4,199.702,0.5,31,5,0,
MACA-HM,2/1/2020 1:51:00 AM,2/1/2020 7:51:00 AM,13,0,0.028,3.4,3.4,199.538,0.6,12,5,0,
MACA-HM,2/1/2020 1:52:00 AM,2/1/2020 7:52:00 AM,12.3,0.1,0.015,3.2,3.2,197.457,0.7,353,5,0,
MACA-HM,2/1/2020 1:53:00 AM,2/1/2020 7:53:00 AM,13.4,0.1,0.017,3.2,3.1,200.277,0.9,2,5,0,
MACA-HM,2/1/2020 1:54:00 AM,2/1/2020 7:54:00 AM,13.6,0,0.024,3.4,3.3,199.579,0.9,360,5,0,
MACA-HM,2/1/2020 1:55:00 AM,2/1/2020 7:55:00 AM,13.5,0.2,0.054,3.4,3.4,196.258,0.8,356,5,0,
MACA-HM,2/1/2020 1:56:00 AM,2/1/2020 7:56:00 AM,13,0.2,0.057,3.4,3.3,199.925,0.7,350,5,0,
MACA-HM,2/1/2020 1:57:00 AM,2/1/2020 7:57:00 AM,13,0,0.025,3.2,3.2,197.356,0.7,15,5,0,
MACA-HM,2/1/2020 1:58:00 AM,2/1/2020 7:58:00 AM,13,0,0.087,3.3,3.2,198.995,0.9,39,5,0,
MACA-HM,2/1/2020 1:59:00 AM,2/1/2020 7:59:00 AM,13.2,0.1,0.009,3.3,3.3,196.219,0.7,10,5,0,
MACA-HM,2/1/2020 2:00:00 AM,2/1/2020 8:00:00 AM,13.1,0,0.036,3.5,3.4,193.996,0.4,30,5,0,
MACA-HM,2/1/2020 2:01:00 AM,2/1/2020 8:01:00 AM,12.8,0.1,0.041,3.4,3.3,198.973,0.4,62,5,0,
MACA-HM,2/1/2020 2:02:00 AM,2/1/2020 8:02:00 AM,12.8,0.2,0.037,3.1,3.1,204.803,0.6,94,5,0,
MACA-HM,2/1/2020 2:03:00 AM,2/1/2020 8:03:00 AM,12.8,0,0.042,3.2,3.2,200.812,0.7,82,5,0,
MACA-HM,2/1/2020 2:04:00 AM,2/1/2020 8:04:00 AM,12.9,0.1,0.099,3.5,3.4,197.695,0.8,90,5,0,
MACA-HM,2/1/2020 2:05:00 AM,2/1/2020 8:05:00 AM,13.2,0.1,-0.007,3.4,3.4,195.944,0.8,72,5,0,
MACA-HM,2/1/2020 2:06:00 AM,2/1/2020 8:06:00 AM,12.2,0.1,-0.035,3.1,3.2,197.019,0.7,57,5.1,0,
MACA-HM,2/1/2020 2:07:00 AM,2/1/2020 8:07:00 AM,12.8,0.1,0.006,3.1,3.1,200.284,0.6,49,5,0,
MACA-HM,2/1/2020 2:08:00 AM,2/1/2020 8:08:00 AM,12.6,0.2,0.054,3.4,3.3,198.448,0.6,21,5,0,
MACA-HM,2/1/2020 2:09:00 AM,2/1/2020 8:09:00 AM,12.6,0.1,0.003,3.4,3.4,196.057,0.6,25,4.9,0,
MACA-HM,2/1/2020 2:10:00 AM,2/1/2020 8:10:00 AM,12.8,0,-0.037,3.3,3.3,197.5,0.6,47,4.9,0,
MACA-HM,2/1/2020 2:11:00 AM,2/1/2020 8:11:00 AM,11.9,0.1,0.038,3,3,199.583,0.4,95,5,0,
MACA-HM,2/1/2020 2:12:00 AM,2/1/2020 8:12:00 AM,11.8,0.3,-0.001,3.2,3.2,201.96,0.4,73,5,0,
MACA-HM,2/1/2020 2:13:00 AM,2/1/2020 8:13:00 AM,12.4,0.1,0.022,3.4,3.3,198.678,0.5,95,5,0,
MACA-HM,2/1/2020 2:14:00 AM,2/1/2020 8:14:00 AM,12.3,0,0.006,3.3,3.3,201.521,0.5,110,5,0,
MACA-HM,2/1/2020 2:15:00 AM,2/1/2020 8:15:00 AM,13.1,0,0.014,3.2,3.1,202.12,0.5,66,5,0,
MACA-HM,2/1/2020 2:16:00 AM,2/1/2020 8:16:00 AM,12.9,0,0.051,3.2,3.1,201.677,0.6,359,4.9,0,
MACA-HM,2/1/2020 2:17:00 AM,2/1/2020 8:17:00 AM,12.9,0.1,-0.03,3.2,3.2,201.537,0.7,337,4.9,0,
MACA-HM,2/1/2020 2:18:00 AM,2/1/2020 8:18:00 AM,13,0,-0.043,3.4,3.4,200.356,0.8,343,4.9,0,
MACA-HM,2/1/2020 2:19:00 AM,2/1/2020 8:19:00 AM,13,0.2,-0.011,3.4,3.4,193.934,1.2,345,4.9,0,
MACA-HM,2/1/2020 2:20:00 AM,2/1/2020 8:20:00 AM,12.7,0.1,0.022,3.2,3.2,194.347,1.4,359,4.9,0,
MACA-HM,2/1/2020 2:21:00 AM,2/1/2020 8:21:00 AM,12.9,0,0.033,3.3,3.3,199.176,1.4,348,4.9,0,
MACA-HM,2/1/2020 2:22:00 AM,2/1/2020 8:22:00 AM,12.6,0.1,0.011,3.4,3.4,200.919,1.5,352,4.9,0,
MACA-HM,2/1/2020 2:23:00 AM,2/1/2020 8:23:00 AM,12.9,0.1,-0.005,3.3,3.4,194.064,1.5,359,4.9,0,
MACA-HM,2/1/2020 2:24:00 AM,2/1/2020 8:24:00 AM,13,0.1,0.016,3.3,3.3,194.405,1.1,352,4.9,0,
MACA-HM,2/1/2020 2:25:00 AM,2/1/2020 8:25:00 AM,12.5,0.1,-0.005,3.2,3.2,195.973,1.2,355,4.9,0,
MACA-HM,2/1/2020 2:26:00 AM,2/1/2020 8:26:00 AM,13.1,0.1,0.057,3.4,3.3,198.333,0.8,15,4.9,0,
MACA-HM,2/1/2020 2:27:00 AM,2/1/2020 8:27:00 AM,13.3,0,0.067,3.6,3.5,198.26,0.7,354,4.9,0,
MACA-HM,2/1/2020 2:28:00 AM,2/1/2020 8:28:00 AM,12.9,0,-0.049,3.3,3.4,196.517,0.9,0,4.9,0,
MACA-HM,2/1/2020 2:29:00 AM,2/1/2020 8:29:00 AM,12.8,0.2,0.053,3.3,3.2,195.421,0.7,5,4.9,0,
MACA-HM,2/1/2020 2:30:00 AM,2/1/2020 8:30:00 AM,12.6,0,0.019,3.3,3.2,197.917,0.5,17,4.9,0,
MACA-HM,2/1/2020 2:31:00 AM,2/1/2020 8:31:00 AM,12.9,0.1,0.101,3.5,3.4,197.874,0.6,17,4.9,0,
MACA-HM,2/1/2020 2:32:00 AM,2/1/2020 8:32:00 AM,13.1,0.1,0.033,3.5,3.4,196.303,0.8,350,4.9,0,
MACA-HM,2/1/2020 2:33:00 AM,2/1/2020 8:33:00 AM,12.9,0.1,0.011,3.3,3.3,199.168,1.3,352,4.9,0,
MACA-HM,2/1/2020 2:34:00 AM,2/1/2020 8:34:00 AM,13.5,0.3,0.045,3.4,3.3,194.98,1.2,356,4.9,0,
MACA-HM,2/1/2020 2:35:00 AM,2/1/2020 8:35:00 AM,13.5,0.3,-0.025,3.5,3.5,195.789,1.2,4,4.9,0,
MACA-HM,2/1/2020 2:36:00 AM,2/1/2020 8:36:00 AM,14.3,0,-0.01,3.6,3.6,197.006,1,342,4.9,0,
MACA-HM,2/1/2020 2:37:00 AM,2/1/2020 8:37:00 AM,13.3,0.1,-0.005,3.3,3.3,199.226,1,12,4.9,0,
MACA-HM,2/1/2020 2:38:00 AM,2/1/2020 8:38:00 AM,13.3,0.1,0.009,3.3,3.3,198.762,1,3,4.9,0,
MACA-HM,2/1/2020 2:39:00 AM,2/1/2020 8:39:00 AM,13,0.2,-0.005,3.2,3.2,197.348,0.9,2,4.9,0,
MACA-HM,2/1/2020 2:40:00 AM,2/1/2020 8:40:00 AM,13.3,0,0.012,3.5,3.5,199.019,1.3,1,4.9,0,
MACA-HM,2/1/2020 2:41:00 AM,2/1/2020 8:41:00 AM,13.6,0.1,0.013,3.6,3.6,196.148,1.1,3,4.8,0,
MACA-HM,2/1/2020 2:42:00 AM,2/1/2020 8:42:00 AM,13.6,0.2,0.033,3.4,3.4,197.286,0.9,7,4.8,0,
MACA-HM,2/1/2020 2:43:00 AM,2/1/2020 8:43:00 AM,13,0.1,0.016,3.3,3.3,195.203,0.9,23,4.9,0,
MACA-HM,2/1/2020 2:44:00 AM,2/1/2020 8:44:00 AM,13.2,0.1,0.028,3.4,3.4,196.158,0.8,13,4.9,0,
MACA-HM,2/1/2020 2:45:00 AM,2/1/2020 8:45:00 AM,13.1,-999,-999,-999,-999,-999,1.1,355,4.9,0,
MACA-HM,2/1/2020 2:46:00 AM,2/1/2020 8:46:00 AM,13,-999,-999,-999,-999,-999,1.4,352,4.9,0,
MACA-HM,2/1/2020 2:47:00 AM,2/1/2020 8:47:00 AM,13.3,-999,-999,-999,-999,-999,1.8,346,4.8,0,
MACA-HM,2/1/2020 2:48:00 AM,2/1/2020 8:48:00 AM,13.1,-999,-999,-999,-999,-999,1.3,356,4.8,0,
MACA-HM,2/1/2020 2:49:00 AM,2/1/2020 8:49:00 AM,13,-999,-999,-999,-999,-999,1.4,352,4.8,0,
MACA-HM,2/1/2020 2:50:00 AM,2/1/2020 8:50:00 AM,12.7,-999,-999,-999,-999,-999,1.1,3,4.9,0,
MACA-HM,2/1/2020 2:51:00 AM,2/1/2020 8:51:00 AM,12.9,-999,-999,-999,-999,-999,1,7,4.8,0,
MACA-HM,2/1/2020 2:52:00 AM,2/1/2020 8:52:00 AM,13,-999,-999,-999,-999,-999,1,3,4.8,0,
MACA-HM,2/1/2020 2:53:00 AM,2/1/2020 8:53:00 AM,12.9,-999,-999,-999,-999,-999,1.2,359,4.8,0,
MACA-HM,2/1/2020 2:54:00 AM,2/1/2020 8:54:00 AM,13,-999,-999,-999,-999,-999,1.2,21,4.8,0,
MACA-HM,2/1/2020 2:55:00 AM,2/1/2020 8:55:00 AM,12.6,-999,-999,-999,-999,-999,0.7,67,4.8,0,
MACA-HM,2/1/2020 2:56:00 AM,2/1/2020 8:56:00 AM,12.1,-999,-999,-999,-999,-999,0.1,245,4.8,0,
MACA-HM,2/1/2020 2:57:00 AM,2/1/2020 8:57:00 AM,12.5,-999,-999,-999,-999,-999,0.8,9,4.8,0,
MACA-HM,2/1/2020 2:58:00 AM,2/1/2020 8:58:00 AM,12.4,-999,-999,-999,-999,-999,1.2,0,4.8,0,
MACA-HM,2/1/2020 2:59:00 AM,2/1/2020 8:59:00 AM,12.6,-999,-999,-999,-999,-999,1.2,359,4.8,0,
MACA-HM,2/1/2020 3:00:00 AM,2/1/2020 9:00:00 AM,13,-999,-999,-999,-999,-999,1.4,357,4.8,0,
MACA-HM,2/1/2020 3:01:00 AM,2/1/2020 9:01:00 AM,13.4,-999,-999,-999,-999,-999,1.4,357,4.8,0,
MACA-HM,2/1/2020 3:02:00 AM,2/1/2020 9:02:00 AM,13.5,-999,-999,-999,-999,-999,1.4,356,4.8,0,
MACA-HM,2/1/2020 3:03:00 AM,2/1/2020 9:03:00 AM,13.2,-999,-999,-999,-999,-999,1.4,354,4.8,0,
MACA-HM,2/1/2020 3:04:00 AM,2/1/2020 9:04:00 AM,13.4,-999,-999,-999,-999,-999,1.3,348,4.8,0,
MACA-HM,2/1/2020 3:05:00 AM,2/1/2020 9:05:00 AM,13.2,-999,-999,-999,-999,-999,1.3,356,4.7,0,
MACA-HM,2/1/2020 3:06:00 AM,2/1/2020 9:06:00 AM,13.2,-999,-999,-999,-999,-999,1.2,358,4.8,0,
MACA-HM,2/1/2020 3:07:00 AM,2/1/2020 9:07:00 AM,13.1,-999,-999,-999,-999,-999,1.2,345,4.8,0,
MACA-HM,2/1/2020 3:08:00 AM,2/1/2020 9:08:00 AM,13.1,-999,-999,-999,-999,-999,1,342,4.8,0,
MACA-HM,2/1/2020 3:09:00 AM,2/1/2020 9:09:00 AM,12.3,-999,-999,-999,-999,-999,1.7,342,4.8,0,
